Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US01,TA01,US01: Criar um projeto para iniciar suas atividades,Cadastro,Modificar_inserção_de_dados,Modificar chamada para tela de inserção,Modificar chamada para tela de inserção,AngularJS,,,,,,,4,4,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Wesley Goncalves
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US01,TA02,US01: Criar um projeto para iniciar suas atividades,Cadastro,Modificar_inserção_de_dados,Modificar validação dados inserção no servidor,Modificar validação dados inserção no servidor,AngularJS,Front-end,JavaScript,Angular,,,,4,1,Reliability,recoverability,The system must be able to perform incremental and full system backups.,Marcos Cesar
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US01,TA03,US01: Criar um projeto para iniciar suas atividades,Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,Modificar entidade no banco de dados,"MySQL, SpringBoot",,,,,,,4,8,Reliability,recoverability,The system must allow for redundant data stores and application servers to support business continuity.,Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US01,TA04,US01: Criar um projeto para iniciar suas atividades,Cadastro,Modificar_inserção_de_dados,Modificar validação dados inserção no servidor,Modificar validação dados inserção no servidor,AngularJS,Front-end,JavaScript,Angular,,,,4,1,Reliability,integrity,"To be strict, all methods should always validate all parameters. Do not assume that data, e.g., HTTP parameters, comes from your client code. It could come from an attacker. Server-side validation is necessary, whether there is client-side validation or not. This not only improves security, but also reduces the risk of corrupt data, makes it easier to find bugs and facilitates error handling.",Marcos Cesar
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US01,TA05,US01: Criar um projeto para iniciar suas atividades,Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,Modificar entidade no banco de dados,"MySQL, SpringBoot",,,,,,,4,8,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US02,TA01,US02: Criar uma Issue para adicioná-la no product backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,4,6,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Marcos Cesar
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US02,TA02,US02: Criar uma Issue para adicioná-la no product backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,,,,,,,4,8,Reliability,recoverability,The system must be able to perform incremental and full system backups.,Anderson Fellipe
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US02,TA03,US02: Criar uma Issue para adicioná-la no product backlog,Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,Modificar entidade no banco de dados,"MySQL, SpringBoot",Back-end,Java,Springboot,,MySQL,,4,12,Reliability,recoverability,The system must allow for redundant data stores and application servers to support business continuity.,Caio Felipe
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US02,TA04,US02: Criar uma Issue para adicioná-la no product backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,,,,,,,4,8,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Anderson Fellipe
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S08,US02,TA05,US02: Criar uma Issue para adicioná-la no product backlog,Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,Modificar entidade no banco de dados,"MySQL, SpringBoot",Back-end,Java,Springboot,,MySQL,,4,12,,,,Caio Felipe
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US03,TA01,US03: Criar um projeto  para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US03,TA02,US03: Criar um projeto  para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,Reliability,recoverability,The system must be able to perform incremental and full system backups.,Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US03,TA03,US03: Criar um projeto  para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,Reliability,recoverability,The system must allow for redundant data stores and application servers to support business continuity.,Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US03,TA04,US03: Criar um projeto  para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US03,TA05,US03: Criar um projeto  para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,,,,Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US04,TA01,US04: Criar uma Issue para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,2,1,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Antonio Pedro
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US04,TA02,US04: Criar uma Issue para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,AngularJS,Front-end,JavaScript,Angular,,,,3,4,Reliability,recoverability,The system must be able to perform incremental and full system backups.,Caio Felipe
P11,Turmalina NFRec,Web,Model-view-controller,Management and Business,S09,US04,TA03,US04: Criar uma Issue para melhorias na construção do backlog,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Modificar tela inserção,"MySQL, SpringBoot",Back-end,Java,Springboot,,,,6,6,Reliability,recoverability,The system must allow for redundant data stores and application servers to support business continuity.,Caio Felipe
