Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA01,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Criar tela para primeiro acesso,Criar tela para primeiro acesso,"Angular, Bootstrap",Front-end,JavaScript,Angular,,,Bootstrap,2,3,Security,authentication,The system must require a first time user to login to the system using a combination of a unique identifier and a shared secret.,Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA02,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Comparar senhas informadas,Comparar senhas informadas,Typescript/ password-match,Front-end,TypeScript,,Generate-password,,,0.5,0.5,Security,confidentiality,Use Secure Sockets Layer (SSL) connections to encrypt information that travels between the device and the server.,Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA03,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Validar e-mail e senha informado,Validar e-mail e senha informado,"Angular, RegExp",Front-end,JavaScript,Angular,,,,1,1.5,Security,authentication,The system must verify newly registered users by sending them a verification token via e-mail before allowing them to log in.,Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA04,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Integrar back com front,Associar dados bidirecionais,"Angular, Two-way data binding",,JavaScript,Angular,,,,1,1,,,,Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA05,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Criar rota de cadastro,Criar rota de cadastro,Spring Boot,Back-end,JavaScript,Springboot,,MongoDB,,2,3,,,,Pablo Victor
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA06,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Encriptar senha do novo usuário,Encriptar senha do novo usuário,Bcrypt,Back-end,JavaScript,,,MongoDB,,1,2,,,,Pablo Victor
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA07,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Persistir no banco os dados de acesso,Persistir no banco os dados de acesso,Hibernate,Back-end,JavaScript,,,MongoDB,Hibernate,1,2,,,,Pablo Victor
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA08,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Autenticação,Acessar_pela_primeira_vez_o_sistema,Fazer o roteamento da URL,Fazer o roteamento da URL,ngRoute,Front-end,JavaScript,,,,,2,3,,,,Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US01,TA09,EU COMO Desenvolvedor DESEJO acessar o sistema PARA poder me cadastrar ou fazer login,Gerencial,Notificar_via_aplicação,Criar view do card de notificação,Criar view do card de notificação,"Angular 5, Ng-Toastr2",,JavaScript,Angular,,,,2,4,Performance,efficiency_compliance,"The system shall be able to process a value of 1 notification per second or less, and up to and including 100 notifications in 15 seconds or less.",Igor Farias
P13,Kaizen Light,Web,Client-server,Information resources,S01,US02,TA01,EU COMO Scrum Master DESEJO fazer login PARA ter acesso ao sistema,Autenticação,Fazer_login_com_usuário_e_senha,Criar campos Login e Senha,Criar campos Login e Senha,"Angular, Bootstrap",Front-end,JavaScript,Angular,,,Bootstrap,4,8,Performance,response_time,"In 100% of all cases, the system must have a mean response time of < 3s between event <user login> and event <first page view>. It is assumed that there are 50 concurrent users, during 120 seconds with 30-seconds of ramp-up.",Axel Medeiros
