Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P12,Kaizen,Web,Client-server,Information resources,S01,US01,TA01,US01: Como Scrum Master quero editar as respostas do questionário para melhor representar um fator,Cadastro,Atualizar_dados,Fazer validação de dados no cliente.,#1- Editar opções de resposta/evidência de cada pergunta - [DONE - Breno],,Front-end,JavaScript,Angular,,,,3,,Reliability,integrity,"The system must identify data that did not pass edit checks, and present such data to the customer/user for correction. Edit checking will continue until all data submitted is correct.",Jose Breno
P12,Kaizen,Web,Client-server,Information resources,S01,US01,TA02,US01: Como Scrum Master quero editar as respostas do questionário para melhor representar um fator,Cadastro,Atualizar_dados,Atualizar dados banco de dados,#2- Salvar as novas respostas no servidor[DONE - Breno],,Back-end,,Angular,,MongoDB,,1,,Reliability,integrity,"The system must validate all data when entered based on the data validation rules. The system must use client-side data validation to improve performance for ordinary execution, i.e., no attacks. Client-side validation is faster since no request is sent to server.",Jose Breno
P12,Kaizen,Web,Client-server,Information resources,S01,US01,TA03,US01: Como Scrum Master quero editar as respostas do questionário para melhor representar um fator,Cadastro,Atualizar_dados,Atualizar dados banco de dados,#3- Salvar as novas respostas no servidor[DONE - Breno],,Back-end,,Angular,,MongoDB,,1,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Jose Breno
P12,Kaizen,Web,Client-server,Information resources,S01,US02,TA01,"US02: Como participante do projeto, quero gerenciar as ações para poder mudar seu status",Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,"#2- Adicionar drag nos campos todo, ongoing, done [DONE]",css_selector,Front-end,HTML/CSS,,,,,2,,,,,
P12,Kaizen,Web,Client-server,Information resources,S01,US02,TA02,"US02: Como participante do projeto, quero gerenciar as ações para poder mudar seu status",Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,"#3- Adicionar função de drop nos campos todo, ongoing, done [DONE]",css_selector,Front-end,HTML/CSS,,,,,4,,,,,
P12,Kaizen,Web,Client-server,Information resources,S01,US02,TA03,"US02: Como participante do projeto, quero gerenciar as ações para poder mudar seu status",Cadastro,Atualizar_dados,Atualizar dados banco de dados,#4 - Editar uma ação [done-romario],html_cytoscape,Back-end,HTML/CSS,Angular,Cytoscape,MongoDB,,8,,Reliability,integrity,"The system must identify data that did not pass edit checks, and present such data to the customer/user for correction. Edit checking will continue until all data submitted is correct.",Romario Batista
P12,Kaizen,Web,Client-server,Information resources,S01,US03,TA01,US03: Como Scrum Master quero visualizar as categorias para responder o questionário,Cadastro,Atualizar_dados,Atualizar dados banco de dados,#1- Salvar a categoria no DB [DONE - Breno],angularJS_ng-model,Back-end,,Angular,,MongoDB,,4,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Jose Breno
P12,Kaizen,Web,Client-server,Information resources,S01,US03,TA02,US03: Como Scrum Master quero visualizar as categorias para responder o questionário,Cadastro,Atualizar_dados,Atualizar dados banco de dados,#7 - Editar categoria [DONE],node.js_controllers,Back-end,,Angular,,MongoDB,Node,2,,,,,
P12,Kaizen,Web,Client-server,Information resources,S01,US03,TA03,US03: Como Scrum Master quero visualizar as categorias para responder o questionário,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,#3- Dividir as perguntas em categorias [DONE - Breno]," css_selector, html_i, html_span, html_div",Front-end,JavaScript,Angular,,,HTML/CSS,2,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Jose Breno
P12,Kaizen,Web,Client-server,Information resources,S01,US03,TA04,US03: Como Scrum Master quero visualizar as categorias para responder o questionário,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,#5 - Adicionar uma categoria (adicionado de modo fixa) [DONE - Breno],,Front-end,JavaScript,Angular,,,,2,,Reliability,recoverability,The system must be able to perform incremental and full system backups.,Jose Breno
