Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA01,CRUD Organização,Cadastro,Recuperação_de_dados,Criar tela listagem,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,8,,Performance,transit_delay,The system must provide pagination when the number of returned search results exceeds the number of records to be displayed per page.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA02,CRUD Organização,Cadastro,Recuperação_de_dados,Criar paginação para listagem,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,4,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA03,CRUD Organização,Cadastro,Recuperação_de_dados,Criar ordenação para listagem,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,4,,Performance,response_time,"In 100% of all cases, the system must have a mean response time of <= 3s between event <search items> and event <display text information of listed items>. It is assumed that there are 200 concurrent users.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA04,CRUD Organização,Cadastro,Recuperação_de_dados,Criar tela listagem,Implementação de Visualização Genérico para a aplicação,,Front-end,JavaScript,Angular,,MySQL,,8,,Reliability,availability,The system must notify users and customers when the function they are accessing is unavailable.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA05,CRUD Organização,Cadastro,Inserir_dados,Criar tela inserção,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,8,,,,,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA06,CRUD Organização,Cadastro,Remover_dados,Remover dados banco de dados,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,4,,Security,confidentiality,"The system must capture the user identification and timestamp when information is created, or deleted.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S01,US01,TA07,CRUD Organização,Cadastro,Remover_dados,Alterar tela para exclusão,"Criação, Edição, Listagem, Pesquisa e Remoção de Organização",,Front-end,JavaScript,Angular,,MySQL,,4,,Reliability,fault_tolerance,"If the server goes offline during data removal, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data removal operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA01,Crud de Usuário,Cadastro,Recuperação_de_dados,Criar tela listagem,1. Listagem de Usuario,,Front-end,JavaScript,Angular,,MySQL,,8,,Performance,transit_delay,The system must provide pagination when the number of returned search results exceeds the number of records to be displayed per page.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA02,Crud de Usuário,Cadastro,Recuperação_de_dados,Criar tela listagem,2. Listagem de Usuario,,Front-end,JavaScript,Angular,,MySQL,,8,,Reliability,availability,The system must notify users and customers when the function they are accessing is unavailable.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA03,Crud de Usuário,Cadastro,Recuperação_de_dados,Criar paginação para listagem,Paginação,,Front-end,JavaScript,Angular,,MySQL,,4,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA04,Crud de Usuário,Cadastro,Recuperação_de_dados,Criar ordenação para listagem,Ordenação,,Front-end,JavaScript,Angular,,MySQL,,4,,Performance,response_time,"In 100% of all cases, the system must have a mean response time of <= 3s between event <search items> and event <display text information of listed items>. It is assumed that there are 200 concurrent users.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA05,Crud de Usuário,Cadastro,Inserir_dados,Criar tela inserção,"Criação, View e Edição",,Front-end,JavaScript,Angular,,MySQL,,8,,,,,Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA06,Crud de Usuário,Cadastro,Remover_dados,Remover dados banco de dados,Remoção de Usuário,,Front-end,JavaScript,Angular,,MySQL,,4,,Security,confidentiality,"The system must capture the user identification and timestamp when information is created, or deleted.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S02,US02,TA07,Crud de Usuário,Cadastro,Remover_dados,Alterar tela para exclusão,Remoção de Usuário,,Front-end,JavaScript,Angular,,MySQL,,4,,Reliability,fault_tolerance,"If the server goes offline during data removal, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data removal operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Caio Barbosa
P16,LEUCOTRON-LIVRE,Web,Client-server,Communications,S03,US03,TA01,Busca e Filtro Avançado de Usuário,Cadastro,Recuperação_de_dados,Criar filtro para listagem,Criar filtro no backend,,Front-end,JavaScript,Angular,,MySQL,,4,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,Fagner Silva
