Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA01,Criação de grafos,Cadastro,Inserir_dados,Criar tela inserção,Criar view para exibição da rede,"angular_component, bootstrap, cytoscapejs, html",Front-end,TypeScript,Angular,Cytoscape,,Bootstrap,2,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Mendelssohn Dantas
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA02,Criação de grafos,Cadastro,Inserir_dados,Criar entidade no banco de dados,Criar modelos da Rede no back-end,"mongoose_model, nodejs, express",Back-end,JavaScript,Express,Mongoose,MongoDB,,2,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA03,Criação de grafos,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para adição de nós,"nodejs, express_route",Back-end,JavaScript,Express,Mongoose,MongoDB,Router,1,,,,,Rerisson Daniel
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA04,Criação de grafos,Cadastro,Inserir_dados,Criar tela inserção,Criar view para adição de uma rede,"angular_component, bootstrap, html",Front-end,TypeScript,Angular,,,Bootstrap,1,,,,,Mendelssohn Dantas
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA05,Criação de grafos,Cadastro,Inserir_dados,Criar tela inserção,Criar view para adição de um nó,"angular_component, bootstrap, html",Front-end,TypeScript,Angular,,,Bootstrap,1,,,,,Mendelssohn Dantas
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA06,Criação de grafos,Cadastro,Inserir_dados,Consumir serviço para inserção,Criar serviço front-end para adição do nó,"angular_service, http_request",Front-end,TypeScript,Angular,,,,1,,,,,Mendelssohn Dantas
P15,WebBN,Web,Model-view-controller,Information resources,S01,US177,TA07,Criação de grafos,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para conexão de nós,"express_route, nodejs, mongoose_models",Back-end,JavaScript,Express,Mongoose,MongoDB,Router,2,,,,,Rerisson Daniel
P15,WebBN,Web,Model-view-controller,Information resources,S02,US178,TA01,Cálculo de inferências,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para integração com API,,Back-end,JavaScript,Express,Mongoose,MongoDB,,2,,,,,Caio Felipe
P15,WebBN,Web,Model-view-controller,Information resources,S02,US178,TA02,Edição de propriedades do Nó,Cadastro,Atualizar_dados,Criar tela alteração,Criar formulários para edição das propriedades,,Front-end,HTML/CSS,Angular,,,,3,,Reliability,integrity,"The system must identify data that did not pass edit checks, and present such data to the customer/user for correction. Edit checking will continue until all data submitted is correct.",Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S02,US178,TA03,Edição de propriedades do Nó,Cadastro,Atualizar_dados,Criar tela alteração,Criar view para definir evidência,,Front-end,HTML/CSS,Angular,,,,4,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S02,US181,TA01,Definição de evidências,Cadastro,Inserir_dados,Criar rota de inserção de dados,Implementar rota para definição de evidência,"express_route, nodejs, mongoose_models",Back-end,JavaScript,Express,Mongoose,MongoDB,Router,1,,,,,Rerisson Daniel
P15,WebBN,Web,Model-view-controller,Information resources,S02,US181,TA02,Definição de evidências,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Adicionar opção de definir evidência no menu de contexto do nó,,Front-end,TypeScript,Angular,,,,2,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S02,US181,TA03,Melhorias,Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,Adicionar ultilitário para ter adicionar cabeçalho de autenticação aos testes,"testes, mocha, chai, supertest, nodejs",Back-end,JavaScript,,,,Node,2,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Rerisson Daniel
P15,WebBN,Web,Model-view-controller,Information resources,S03,US182,TA01,Funções dos nós,Cadastro,Inserir_dados,Criar tela inserção,Criar formulário para funções dos nós,,Front-end,HTML/CSS,Angular,,,,2,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA01,Cenários,Cadastro,Inserir_dados,Criar entidade no banco de dados,Criar modelo de cenário,"mongoose, nodejs, mongodb",Back-end,JavaScript,Express,Mongoose,MongoDB,Node,1,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Mendelssohn Dantas
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA02,Cenários,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para salvar cenário,,Back-end,JavaScript,Express,Mongoose,MongoDB,,2,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA03,Cenários,Cadastro,Inserir_dados,Criar tela inserção,Criar view para listagem de cenários,,Front-end,HTML/CSS,Angular,,,,3,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,,US183,TA04,Cenários,Cadastro,Inserir_dados,Consumir serviço para inserção,Criar componente + serviço de cenário,,Front-end,TypeScript,Angular,,,,2,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA05,Cenários,Cadastro,Inserir_dados,Criar tela inserção,Criar formulário para cadastrar cenários,,Front-end,HTML/CSS,,,,,2,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA06,Cenários,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para editar cenário,,Back-end,JavaScript,Express,Mongoose,MongoDB,,1,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA07,Cenários,Cadastro,Inserir_dados,Criar rota de inserção de dados,Criar rota para definir evidência,,Back-end,JavaScript,Express,Mongoose,MongoDB,,1,,,,,Manuel Severino
P15,WebBN,Web,Model-view-controller,Information resources,S03,US183,TA08,Cenários,Cadastro,Recuperação_de_dados,Criar tela listagem,Listar cenários por cor,,Front-end,HTML/CSS,,,,,2,,,,,Manuel Severino
