Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P14,SAM,Web,Model-view-controller,Information resources,S01,US01,TA01,O usuário deve poder adicionar o uso pretendido de cada métrica definida,Cadastro,Inserir_dados,Criar tela inserção,TA01-US01 Adicionar campo no front-end,"html_input, AngularJS_ng-model",Front-end,JavaScript,Angular,,,,0.2,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Rerisson Daniel
P14,SAM,Web,Model-view-controller,Information resources,S01,US01,TA02,O usuário deve poder adicionar o uso pretendido de cada métrica definida,Cadastro,Inserir_dados,Criar entidade no banco de dados,TA02-US01 Adicionar campo no backend,"jpa_colum, java_attribute",Back-end,Java,Springboot,JPA,MySQL,,0.2,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Rerisson Daniel
P14,SAM,Web,Model-view-controller,Information resources,S01,US02,TA01,O usuário deve poder adicionar uma ou mais vantagens a cada métrica definida,Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,TA01-US02 Adicionar as vantagens no JSON da métrica,"java_enum, java_attribute, java_function",Back-end,Java,Springboot,,MySQL,,1,,Reliability,integrity,"For entities that are bound by effective and end dates, the system shall verify that there is no other conflicting or overlapping record as defined by business rules.",Mendelssohn Dantas
P14,SAM,Web,Model-view-controller,Information resources,S01,US02,TA02,O usuário deve poder adicionar uma ou mais vantagens a cada métrica definida,Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,TA02-US02 Atualizar modelo de métrica do backend,"java_class, java_attribute, java_constant, java_function, spring-jpa",Back-end,Java,Springboot,,MySQL,,2,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Mendelssohn Dantas
P14,SAM,Web,Model-view-controller,Information resources,S01,US03,TA01,O somatório dos critérios de validação associados às vantagens de determinada métrica deve ser usado para determinar a variância.,Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,TA01-US03 Adicionar atualização da variância do nó correspondente à métrica atualizada,"jpa_column, java_attribute, spring-boot_service, spring-boot_repository",Back-end,Java,Springboot,JPA,MySQL,,0.33,,,,,Rerisson Daniel
P14,SAM,Web,Model-view-controller,Information resources,S01,US03,TA02,O somatório dos critérios de validação associados às vantagens de determinada métrica deve ser usado para determinar a variância.,Cadastro,Atualizar_dados,Criar serviço alteração,TA02-US03 Criar rota no backend para atualização dos dados do nó,"spring-jpa, spring-boot_controller, spring-boot_service, spring-boot_repository",Back-end,Java,Springboot,JPA,MySQL,,2,,Reliability,integrity,"The system must identify data that did not pass edit checks, and present such data to the customer/user for correction. Edit checking will continue until all data submitted is correct.",Mendelssohn Dantas
P14,SAM,Web,Model-view-controller,Information resources,S01,US03,TA03,O somatório dos critérios de validação associados às vantagens de determinada métrica deve ser usado para determinar a variância.,Cadastro,Atualizar_dados,Criar tela alteração,TA03-US03 Criar view que permitirá edição/atualização dos dados do nó,"angularjs_mdDialog, angularjs_translate, angularjs_ng-Model, angularjs_ng-Repeat, angularjs_ng-If, angularjs_ng-Click, javascript_function, html_table, html_tr, html_th, html_input, html_form, angular-material_md-button",Front-end,JavaScript,Angular,,,,4,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",Mendelssohn Dantas
P14,SAM,Web,Model-view-controller,Information resources,S01,US04,TA01,"O usuário deve poder visualizar os critérios de validação associados a cada vantagem escolhida, para cada métrica definida",Cadastro,Recuperação_de_dados,Criar tela listagem,TA01-US04 Criar lista de vantagens e seus respectivos critérios,javascript_function,Front-end,JavaScript,Angular,,,,6,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,Manuel Severino
P14,SAM,Web,Model-view-controller,Information resources,S01,US04,TA02,"O usuário deve poder visualizar os critérios de validação associados a cada vantagem escolhida, para cada métrica definida",Cadastro,Recuperação_de_dados,Criar filtro para listagem,TA02-US04 Criar campos de acordo com os critérios selecionados,"html_input, html_button, javascript_function, angularJS_ng-Model, angularJS_ng-Click",Front-end,JavaScript,Angular,,,,4,,Reliability,availability,The system must notify users and customers when the function they are accessing is unavailable.,Caio Felipe
P14,SAM,Web,Model-view-controller,Information resources,S01,US04,TA03,"O usuário deve poder visualizar os critérios de validação associados a cada vantagem escolhida, para cada métrica definida",Cadastro,Recuperação_de_dados,Criar rotas para listagem,TA03-US04 Criar rota no backend para recuperar todos as vantagens que uma métrica pode ter,"spring-boot_rest, spring-boot_controller, spring-boot_service, spring-boot_repository",Back-end,Java,Springboot,,MySQL,,0.33,,,,,Rerisson Daniel
P14,SAM,Web,Model-view-controller,Information resources,S01,US04,TA04,"O usuário deve poder visualizar os critérios de validação associados a cada vantagem escolhida, para cada métrica definida",Cadastro,Recuperação_de_dados,Criar serviço de listagem,TA04-US04 Integrar listagem dos critérios de validação com o backend,"AngularJS_factory, AngularJS_function, angular-material_md-select, AngularJS_ng-Repeat, AngularJS_translate, AngularJS_filter",Front-end,JavaScript,Angular,,,,0.33,,,,,Rerisson Daniel
P14,SAM,Web,Model-view-controller,Information resources,S01,US04,TA05,"O usuário deve poder visualizar os critérios de validação associados a cada vantagem escolhida, para cada métrica definida",Cadastro,Recuperação_de_dados,Criar tela para visualizar detalhes,TA05-US04 Exibir detalhes do critério,"AngularJS_function, AngularJS_icons,  AngularJS_tooltipe",Front-end,JavaScript,Angular,,,,4,,,,,Manuel Severino
