Projeto_ID,Projeto,Plataforma,Arquitetura,Dominio,Sprint_ID,US_ID,Tarefa_ID,Descritivo_da_US,Modulo,Operacao,Tarefa_mapeada,Tarefa_original,Tags,Camada,Linguagem,Framework,API,Persistencia,Outras_Tags,Esforco_estimado_em_horas,Esforco_em_horas,NFR_Tipo,NFR_Atributo,NFR_Sentença,Responsavel
P05,GaMMa,Web,Client-server,Games/Entertainment,S01,US01,TA01,Login Administrador,Autenticação,Fazer_login_com_usuário_e_senha,Criar campos Login e Senha,Criar campos Login e Senha,,Front-end,HTML/CSS,Angular,,,JavaScript,,,Performance,response_time,"In 100% of all cases, the system must have a mean response time of < 3s between event <user login> and event <first page view>. It is assumed that there are 50 concurrent users, during 120 seconds with 30-seconds of ramp-up.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S01,US01,TA02,Login Administrador,Autenticação,Fazer_login_com_usuário_e_senha,Criar serviço Auth (Client),Criar serviço Auth (Client),,Front-end,JavaScript,Angular,,,HTML/CSS,,,Security,access_control,The system must provide the capability for an administrator to enable and disable customer and user access.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S01,US01,TA03,Login Administrador,Autenticação,Fazer_login_com_usuário_e_senha,Criptografar senha no banco,Criptografar senha no banco,,Back-end,Python,Django,,,,,,Security,authentication,The system must terminate a user session after a specified configurable period of inactivity by the user. This timeout should end the session and require authenticated logon to return to session.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S01,US01,TA04,Login Administrador,Autenticação,Fazer_login_com_usuário_e_senha,Criar serviço Auth (Server),Criar serviço Auth (Server),,Back-end,Python,Django,,,,,,Security,confidentiality,Use Secure Sockets Layer (SSL) connections to encrypt information that travels between the device and the server.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S01,US01,TA05,Login Administrador,Autenticação,Fazer_login_com_usuário_e_senha,Fazer logout,Fazer logout,,Front-end,JavaScript,Angular,,,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US02,TA01,Recuperar senha Administrador,Autenticação,Recuperar_senha,Alterar tela de login,Alterar tela de login,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Security,authentication,"When the password has changed, the system must automatically notify a customer via e-mail.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US02,TA02,Recuperar senha Administrador,Autenticação,Recuperar_senha,Criar serviço de notificação,Criar serviço de notificação,,Back-end,Python,Django,Firebase Cloud Messaging,,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA01,CRUD Administrador,Autenticação,Criar_conta,Criar tela para nova conta,Criar tela para nova conta,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Security,authentication,The system must verify newly registered users by sending them a verification token via e-mail before allowing them to log in.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA02,CRUD Administrador,Autenticação,Criar_conta,Criar rota de cadastro,Criar rota de cadastro,,Back-end,Python,Django,,,REST,,,Security,confidentiality,Use Secure Sockets Layer (SSL) connections to encrypt information that travels between the device and the server.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA03,CRUD Administrador,Autenticação,Criar_conta,Encriptar senha do usuário,Encriptar senha do usuário,,Back-end,Python,Django,,,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA04,CRUD Administrador,Autenticação,Criar_conta,Persistir no banco os dados de acesso,Persistir no banco os dados de acesso,,Back-end,Python,Django,,MySQL,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA05,CRUD Administrador,Cadastro,Inserir_dados,Criar tela inserção,Criar tela inserção,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA06,CRUD Administrador,Cadastro,Inserir_dados,Criar método de inserção,Criar método de inserção,,Back-end,Python,Django,,,,,,Reliability,integrity,"The system must validate all data when entered based on the data validation rules. The system must use client-side data validation to improve performance for ordinary execution, i.e., no attacks. Client-side validation is faster since no request is sent to server.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA07,CRUD Administrador,Cadastro,Inserir_dados,Fazer validação de dados no cliente,Fazer validação de dados no cliente,,Front-end,JavaScript,Angular,,,HTML/CSS,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA08,CRUD Administrador,Cadastro,Inserir_dados,Persistir dados banco de dados,Persistir dados banco de dados,,Back-end,Python,Django,,MySQL,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA09,CRUD Administrador,Cadastro,Atualizar_dados,Criar tela alteração,Criar tela alteração,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Reliability,integrity,"The system must identify data that did not pass edit checks, and present such data to the customer/user for correction. Edit checking will continue until all data submitted is correct.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA10,CRUD Administrador,Cadastro,Atualizar_dados,Fazer validação de dados no cliente.,Fazer validação de dados no cliente.,,Back-end,Python,Django,,,,,,Reliability,fault_tolerance,"If the server goes offline during data insertion, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data insertion operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA11,CRUD Administrador,Cadastro,Atualizar_dados,Consumir serviço para alteração,Consumir serviço para alteração,,Back-end,Python,Django,,,,,,Reliability,integrity,"The system must validate all data when entered based on the data validation rules. The system must use client-side data validation to improve performance for ordinary execution, i.e., no attacks. Client-side validation is faster since no request is sent to server.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA12,CRUD Administrador,Cadastro,Remover_dados,Alterar tela para exclusão,Alterar tela para exclusão,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Security,confidentiality,"The system must capture the user identification and timestamp when information is created, or deleted.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA13,CRUD Administrador,Cadastro,Remover_dados,Criar serviço exclusão,Criar serviço exclusão,,Back-end,Python,Django,,,,,,Reliability,fault_tolerance,"If the server goes offline during data removal, the system must display a loading for a maximum of 1 minute. If the backend comes back in the meantime, the data removal operation must be performed automatically. Otherwise, if the server remains unresponsive after 1 minute, the system must notify the server problem for users.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA14,CRUD Administrador,Cadastro,Remover_dados,Remover dados banco de dados,Remover dados banco de dados,,Back-end,Python,Django,,MySQL,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA15,CRUD Administrador,Cadastro,Recuperação_de_dados,Criar tela listagem,Criar tela listagem,,Front-end,JavaScript,Angular,,,HTML/CSS,,,Performance,transit_delay,The system must provide pagination when the number of returned search results exceeds the number of records to be displayed per page.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA16,CRUD Administrador,Cadastro,Recuperação_de_dados,Criar rotas para listagem,Criar rotas para listagem,,Back-end,Python,Django,,,REST,,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA17,CRUD Administrador,Cadastro,Recuperação_de_dados,Criar serviço de listagem,Criar serviço de listagem,,Back-end,Python,Django,,,,,,Performance,response_time,"In 100% of all cases, the system must have a mean response time of <= 3s between event <search items> and event <display text information of listed items>. It is assumed that there are 200 concurrent users.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S02,US03,TA17,CRUD Administrador,Cadastro,Recuperação_de_dados,Criar paginação para listagem,Criar paginação para listagem,,Back-end,Python,Django,,,,,,,,,
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA01,Visualizar os Convidados,Gerencial,Visualizar_Dashboard,Criar tela do dashboard,Criar tela do dashboard,,Front-end,HTML/CSS,Angular,,,JavaScript,,,Security,access_control,The system must provide the capability for users see just the information they have permission to access.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA02,Visualizar os Convidados,Gerencial,Visualizar_Dashboard,Declarar no provider,Declarar no provider,,Back-end,Python,Django,,,,,,Security,access_control,"The system must dynamically display menus, pages, and functionality based on the security access of the user.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA03,Visualizar os Convidados,Gerencial,Visualizar_Dashboard,Adicionar verificação de autorização,Adicionar verificação de autorização,,Back-end,Python,Django,,,,,,Performance,response_time,"In 99% of all cases, the system must have a mean response time of <= 1s between event <view dashboard> and event <time to first byte>.",
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA04,Visualizar os Convidados,Gerencial,Exportar_relatório_em_PDF,Implementar metodo para exportação de relatório em PDF,Adicionar botão para exportação do relatório,,Front-end,HTML/CSS,Angular,,,JavaScript,,,Performance,capacity,The system must be able to export a maximum of 10000 items at a time.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA05,Visualizar os Convidados,Gerencial,Exportar_relatório_em_PDF,Criar serviço para exportação de relatórios,Criar serviço para exportação de relatórios,,Back-end,Python,Django,,,,,,Security,confidentiality,The system must capture the user identification and timestamp when information is exported.,
P05,GaMMa,Web,Client-server,Games/Entertainment,S03,US04,TA06,Visualizar os Convidados,Gerencial,Exportar_relatório_em_PDF,Implementar metodo para exportação de relatório em PDF,Implementar método para exportação de relatório,,Back-end,Python,Django,,,,,,,,,
